"Language","Moniker","Package","VersionInDocs","DeprecatedVersions","AlreadyDeprecatedVersion"
"javascript","preview","@azure/arm-containerregistry","11.0.0-beta.2","9.0.0",""
"javascript","preview","@azure/arm-containerservice","19.4.0-beta.1","14.3.0",""
"javascript","preview","@azure/arm-cosmosdb","16.0.0-beta.6","14.2.0",""
"javascript","preview","@azure/arm-eventgrid","14.2.0-beta.1","12.0.0",""
"javascript","preview","@azure/arm-eventhub","5.2.0-beta.1","4.0.0",""
"javascript","preview","@azure/arm-hdinsight","1.3.0-beta.1","0.24.0",""
"javascript","preview","@azure/arm-monitor","8.0.0-beta.4","6.1.1",""
"javascript","preview","@azure/arm-security","6.0.0-beta.4","3.0.0",""
"javascript","preview","@azure/arm-servicebus","6.2.0-beta.1","4.1.1",""
"javascript","preview","@azure/arm-sql","10.1.0-beta.2","8.0.0",""
"javascript","latest","@azure/arm-advisor","3.2.0","2.1.1",""
"javascript","latest","@azure/arm-analysisservices","4.1.3","3.0.0",""
"javascript","latest","@azure/arm-apimanagement","9.1.0","7.2.0",""
"javascript","latest","@azure/arm-appservice","14.0.0","9.0.0",""
"javascript","latest","@azure/arm-attestation","2.1.0","1.1.1",""
"javascript","latest","@azure/arm-batch","9.0.0","6.0.0",""
"javascript","latest","@azure/arm-billing","4.1.0","3.1.1",""
"javascript","latest","@azure/arm-cdn","8.0.0","5.3.1",""
"javascript","latest","@azure/arm-cognitiveservices","7.5.0","6.1.0",""
"javascript","latest","@azure/arm-compute","21.2.0","16.5.0",""
"javascript","latest","@azure/arm-consumption","9.2.0","8.0.1",""
"javascript","latest","@azure/arm-containerinstance","9.1.0","7.1.0",""
"javascript","latest","@azure/arm-containerregistry","10.1.0","9.0.0",""
"javascript","latest","@azure/arm-containerservice","19.3.0","14.3.0",""
"javascript","latest","@azure/arm-cosmosdb","15.5.0","14.2.0",""
"javascript","latest","@azure/arm-datafactory","11.1.0","9.0.0",""
"javascript","latest","@azure/arm-devtestlabs","4.1.0","3.3.1",""
"javascript","latest","@azure/arm-eventgrid","14.1.0","12.0.0",""
"javascript","latest","@azure/arm-eventhub","5.1.0","4.0.0",""
"javascript","latest","@azure/arm-features","3.1.0","2.0.0",""
"javascript","latest","@azure/arm-hdinsight","1.2.1","0.24.0",""
"javascript","latest","@azure/arm-iothub","6.3.0","5.1.1",""
"javascript","latest","@azure/arm-links","2.0.1","1.1.2",""
"javascript","latest","@azure/arm-locks","2.1.0","1.2.2",""
"javascript","latest","@azure/arm-logic","8.2.0","7.1.1",""
"javascript","latest","@azure/arm-managedapplications","3.0.0","1.1.2",""
"javascript","latest","@azure/arm-managementgroups","2.0.2","1.2.1",""
"javascript","latest","@azure/arm-mediaservices","13.1.0","9.0.0",""
"javascript","latest","@azure/arm-monitor","7.0.0","6.1.1",""
"javascript","latest","@azure/arm-msi","2.1.0","1.2.1",""
"javascript","latest","@azure/arm-mysql","5.1.0","4.0.0",""
"javascript","latest","@azure/arm-network","32.2.0","25.4.0",""
"javascript","latest","@azure/arm-notificationhubs","2.1.0","1.3.1",""
"javascript","latest","@azure/arm-operationalinsights","9.0.0","7.1.1",""
"javascript","latest","@azure/arm-policy","5.1.0","4.2.0",""
"javascript","latest","@azure/arm-postgresql","6.1.0","5.2.0",""
"javascript","latest","@azure/arm-recoveryservices","5.4.0","4.2.1",""
"javascript","latest","@azure/arm-rediscache","8.0.0","5.0.0",""
"javascript","latest","@azure/arm-relay","3.1.1","2.2.1",""
"javascript","latest","@azure/arm-resourcehealth","4.0.0","2.0.0",""
"javascript","latest","@azure/arm-resources-subscriptions","2.1.0","1.0.1",""
"javascript","latest","@azure/arm-resources","5.2.0","4.2.2",""
"javascript","latest","@azure/arm-search","3.1.0","2.0.0",""
"javascript","latest","@azure/arm-security","5.0.0","3.0.0",""
"javascript","latest","@azure/arm-servicebus","6.1.0","4.1.1",""
"javascript","latest","@azure/arm-servicefabric","2.1.0","1.1.1",""
"javascript","latest","@azure/arm-sql","10.0.0","8.0.0",""
"javascript","latest","@azure/arm-storage","18.2.0","16.1.2",""
"javascript","latest","@azure/arm-streamanalytics","4.1.0","3.0.0",""
"javascript","latest","@azure/arm-subscriptions","5.1.0","3.1.2",""
"javascript","latest","@azure/arm-templatespecs","2.1.0","1.0.0",""
"javascript","latest","@azure/cosmos","4.0.0","2.1.1",""
"javascript","latest","@azure/event-hubs","5.11.1","5.8.0-beta.1, 2.0.0",""
"javascript","latest","@azure/service-bus","7.9.1","1.1.10",""
